id,code,name,active,status,model_node_name,glb_node_name,old_x,old_z,current_x,current_z,delta
ee0e59f4-74b0-11f1-8da2-d843ae05cb18,S,EDIF. S,false,matched,Edificio_S,Edificio_S,,,1.7978,140.1738,
75a952fa-52ec-11f1-a7fc-d843ae05cb18,SAL,Sala de Titulación,true,matched,Lab_Microscopia_Sala_Titulacion_Aula_Dibujo,Lab_Microscopia_Sala_Titulacion_Aula_Dibujo,-107.8888,-37.3687,-34.0998,-58.4886,76.752
7ede7bfb-6436-11f1-9da2-d843ae05cb18,SAL-MAE,"TITULACIÓN DE M. EN ADMÓN.,",true,matched,Sala_Titulacion_Maestria-Admon,Sala_Titulacion_Maestria-Admon,95.9161,-4.2166,-39.9488,132.1912,192.5263
7ede790e-6436-11f1-9da2-d843ae05cb18,Sec-61,SECCIÓN 61,false,matched,Seccion_61,Seccion_61,-176.5824,-67.1432,-77.2152,-105.03,106.345
c0b5c72d-6687-11f1-9d41-d843ae05cb18,SECCIÓN 61,SECCIÓN 61,true,matched,Seccion_61,Seccion_61,-176.5824,-67.1432,-77.2152,-105.03,106.345
7ede7c5b-6436-11f1-9da2-d843ae05cb18,SERV-ESC,SERV. ESCOLARES - DIV. EST. PROF.,true,matched,Depto_servico_escolares_Div_estudios_profecionales_Direccion,Depto_servico_escolares_Div_estudios_profecionales_Direccion,-89.8816,37.9362,-52.0612,0.0448,53.5364
d7a1ac1a-bb3b-45b3-a5e3-d85d387ced83,TEMP-DEL,Edificio Temporal Delete,false,missing-node,Edificio_Temporal_Delete,,,,,,
a08c0a4a-5a39-4a6d-a5a9-6ecea216577f,TMP-20260430124616,Edificio Temporal Delete 20260430124616,false,missing-node,Edificio_Temporal_Delete_20260430124616,,,,,,
75a92fb7-52ec-11f1-a7fc-d843ae05cb18,X,Edificio X,false,missing-node,Edificio_X,,,,,,
75a932df-52ec-11f1-a7fc-d843ae05cb18,X001,Edificio X001,false,missing-node,Edificio_X001,,,,,,
